stop_id,stop_name,latitude,longitude
815272,Kevin Dr & Oram Wy,38.028135,-121.954448
815286,Cavallo Rd & Minner Ave,38.000542,-121.796963
815293,Cavallo Rd & Sunset Dr,37.998483,-121.798075
815319,East Tregallas Rd & Patricia Ave,37.997455,-121.795069
815335,East Tregallas Rd & Countrywood Dr,37.995817,-121.787545
815342,James Donlon Blvd & Sth Royal Links Cir,37.979807,-121.80948
815357,James Donlon Blvd & Community Prk,37.980064,-121.819935
815361,James Donlon Blvd & G St,37.979764,-121.81404
815374,James Donlon Blvd & Dimaggio Wy,37.983256,-121.831473
815388,Gentrytown Dr & Meredith Wy,37.984603,-121.835736
815390,Gentrytown Dr & Curtis Dr,37.988003,-121.839478
815414,Gentrytown Dr & Sequoia Dr,37.993471,-121.839732
815422,Gentrytown Dr & Madrid Ln,37.997058,-121.838073
815433,Delta Fair Blvd & Gentrytown Dr,37.999639,-121.838077
815446,Gentrytown Dr & Lopez Dr,37.99639,-121.838371
815451,Gentrytown Dr & Sequoia Dr,37.993428,-121.839903
815467,Gentrytown Dr & Jefferson Wy,37.991329,-121.840228
815479,James Donlon Blvd & Contra Loma Blvd,37.982792,-121.826061
815480,Gentrytown Dr & Putnam St,37.989485,-121.840277
815498,Gentrytown Dr & Dimaggio Wy,37.987155,-121.838751
815507,James Donlon Blvd & Gentrytown Dr,37.983053,-121.835207
815511,James Donlon Blvd & Silverado Dr,37.983021,-121.83062
815524,Fitzuren Rd & G St,37.997704,-121.81656
815530,West Tregallas Rd & G St,37.997535,-121.81525
815553,West 18th St & D St,38.005049,-121.810622
815569,West 18th St & D St,38.004872,-121.810172
815576,West 18th St & L St,38.005282,-121.818327
815582,West 18th St & L St,38.005144,-121.818252
815595,West 4th St & O St,38.01562,-121.823263
815609,Verne Roberts Cir & West 10th St,38.011967,-121.841737
815613,Verne Roberts Cir & Crow Ct,38.01018,-121.839116
815621,Verne Roberts Cir & Costco,38.009384,-121.83595
815632,Verne Roberts Cir (opp. Costco),38.00932,-121.835022
815645,Contra Loma Blvd & San Jose Dr,37.994019,-121.82283
815650,Contra Loma Blvd & St. Francis Dr SB,37.996671,-121.822858
815666,Contra Loma Blvd & Contra Loma Plaza,37.990729,-121.822651
815678,Contra Loma Blvd & Longview Rd,37.989222,-121.823181
815684,West 2nd St & West 3rd St,38.016467,-121.809116
815697,West 2nd St & Waldie Plz,38.016947,-121.814838
815700,West 2nd St & K St,38.016967,-121.818151
815716,L St & West 3rd St,38.016433,-121.81985
815728,L St & West 2nd St,38.016673,-121.819626
815737,West 4th St & O St,38.015434,-121.823621
815744,East 12th St & Columbia St,38.022377,-121.872753
815759,Railroad Ave & Redondo Dr,38.000052,-121.895688
815825,Auto Center Dr & West 18th St,38.007665,-121.832915
815856,Deer Valley Rd & Prewett Ranch Dr,37.960684,-121.778498
816013,Willow Pass Rd & Enterprise Cir,38.029372,-121.898048
816021,Willow Pass Rd & Nantucket Dr,38.029577,-121.913039
816045,West 10th St & West St,38.029299,-121.890471
816050,Wilbur Ave & Almond St,38.012152,-121.805231
816066,Wilbur Ave & Almond St,38.012279,-121.805338
816078,Wilbur Ave & Orchard Ln,38.012155,-121.801092
816084,Wilbur Ave & Orchard Ln,38.012326,-121.802203
816097,Cavallo Rd & East 18th St,38.00481,-121.798277
816130,Delta Fair Blvd & Gentrytown Dr,37.999618,-121.837866
816202,Kevin Dr & Shellie Ct,38.031762,-121.955496
816218,Kevin Dr & Pamela Dr,38.030288,-121.953851
816225,Kevin Dr & Pamela Dr,38.029788,-121.953665
816239,Kevin Dr & Willow Pass Rd,38.027473,-121.954582
816241,Willow Pass Rd & Weldon Ln,38.026873,-121.957889
816256,Willow Pass Rd & Goble Dr,38.025414,-121.962089
816260,West Leland Rd & San Marco Blvd,38.019283,-121.965068
816273,West Leland Rd & Alves Ranch Rd,38.017493,-121.954409
816287,West Leland Rd & Alves Ranch Rd,38.018049,-121.955961
816294,Evora Rd & Pomo St,38.024591,-121.966464
816304,Evora Rd & St Tropez Dr,38.024872,-121.974141
816327,Evora Rd & Driftwood Dr,38.024286,-121.983026
816336,Mota Dr & Rio Ln,38.02768,-121.97429
816343,Mota Dr & Azores Cir,38.02856,-121.973148
816358,Mariners Cove Dr & Pacifica Ave,38.033498,-121.972628
816370,Wharf Dr & Marina Rd,38.036367,-121.976039
816391,Shore Rd & Lakeview Dr,38.039113,-121.970866
816406,Shore Rd & Inlet Dr,38.038785,-121.969033
816410,Inlet Dr & Marina Rd,38.036364,-121.969108
816423,Willow Pass and Kevin Dr,38.026676,-121.954169
816434,Willow Pass Rd & Ambrose Ave,38.02668,-121.951871
816447,Willow Pass Rd & Clearland Dr,38.026675,-121.945806
816452,Willow Pass Rd & Clearland Dr,38.026849,-121.94658
816481,San Marco Blvd & West Leland Rd,38.020112,-121.965867
816520,Balclutha Wy & Polaris Dr,38.022912,-121.921902
816531,Polaris Dr & Balclutha Wy,38.022629,-121.921309
816549,East 3rd St & Harbor St,38.032287,-121.878781
816554,East 3rd St & Riverway Dr,38.032776,-121.8799
816565,Marina Blvd & East 3rd St,38.03422,-121.884078
816577,East Marina Blvd & Pelican Loop,38.036631,-121.884432
816583,Pittsburg Marina,38.038622,-121.885152
816596,East Marina Blvd & Pelican Loop,38.03599,-121.884205
816605,Marina Blvd & Pelican Loop,38.034511,-121.884188
816633,West 10th St & Beacon St,38.029525,-121.893844
816667,West Leland Rd & John Henry Johnson Pky,38.013912,-121.919929
816679,Hillcrest Ave & Renwick Ln,38.000252,-121.787636
816680,Auto Center Dr & Costco Way,38.008888,-121.83217
816698,West 10th St & B St,38.01125,-121.807857
816701,Driftwood Dr & Coastview Ct,38.024823,-121.983448
